"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 13:48:03 GMT 2025","Tue Jun 10 13:48:04 GMT 2025","1207","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jun 10 13:48:10 GMT 2025","Tue Jun 10 13:48:10 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Jun 10 13:48:02 GMT 2025","Tue Jun 10 13:48:03 GMT 2025","1456","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:48:10 GMT 2025","Tue Jun 10 13:48:10 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Jun 10 13:48:07 GMT 2025","Tue Jun 10 13:48:10 GMT 2025","2815","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 10 13:47:58 GMT 2025","Tue Jun 10 13:48:02 GMT 2025","3312","LMS system","Authentication","Authorization","","","User login with correct email or password",""
"passed","Tue Jun 10 13:48:10 GMT 2025","Tue Jun 10 13:48:10 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Tue Jun 10 13:47:58 GMT 2025","Tue Jun 10 13:48:00 GMT 2025","1886","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:48:10 GMT 2025","Tue Jun 10 13:48:10 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Tue Jun 10 13:48:10 GMT 2025","Tue Jun 10 13:48:10 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Tue Jun 10 13:48:12 GMT 2025","Tue Jun 10 13:48:13 GMT 2025","1584","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 10 13:48:07 GMT 2025","Tue Jun 10 13:48:11 GMT 2025","3570","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jun 10 13:48:01 GMT 2025","Tue Jun 10 13:48:02 GMT 2025","1645","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:48:05 GMT 2025","Tue Jun 10 13:48:06 GMT 2025","1447","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 10 13:48:04 GMT 2025","Tue Jun 10 13:48:06 GMT 2025","1553","LMS system","Authentication","Registration","","","Registration with correct login, email and password",""
"passed","Tue Jun 10 13:48:10 GMT 2025","Tue Jun 10 13:48:10 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
