"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 13:52:50 GMT 2025","Tue Jun 10 13:52:52 GMT 2025","1681","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 10 13:52:44 GMT 2025","Tue Jun 10 13:52:46 GMT 2025","1482","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:52:40 GMT 2025","Tue Jun 10 13:52:42 GMT 2025","2108","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:53:04 GMT 2025","Tue Jun 10 13:53:04 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Tue Jun 10 13:53:04 GMT 2025","Tue Jun 10 13:53:04 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Tue Jun 10 13:52:33 GMT 2025","Tue Jun 10 13:52:35 GMT 2025","1744","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:52:59 GMT 2025","Tue Jun 10 13:53:04 GMT 2025","5082","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jun 10 13:52:31 GMT 2025","Tue Jun 10 13:52:32 GMT 2025","1857","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:52:46 GMT 2025","Tue Jun 10 13:52:47 GMT 2025","1571","LMS system","Authentication","Registration","","","Registration with correct login, email and password",""
"passed","Tue Jun 10 13:52:56 GMT 2025","Tue Jun 10 13:53:00 GMT 2025","3840","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jun 10 13:53:04 GMT 2025","Tue Jun 10 13:53:04 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Tue Jun 10 13:52:42 GMT 2025","Tue Jun 10 13:52:44 GMT 2025","1878","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:53:01 GMT 2025","Tue Jun 10 13:53:03 GMT 2025","2147","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 10 13:52:52 GMT 2025","Tue Jun 10 13:52:54 GMT 2025","1405","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 10 13:52:46 GMT 2025","Tue Jun 10 13:52:48 GMT 2025","1425","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jun 10 13:52:36 GMT 2025","Tue Jun 10 13:52:43 GMT 2025","7056","LMS system","Authentication","Authorization","","","User login with correct email or password",""
"passed","Tue Jun 10 13:52:52 GMT 2025","Tue Jun 10 13:52:55 GMT 2025","2810","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 10 13:52:31 GMT 2025","Tue Jun 10 13:52:34 GMT 2025","3441","LMS system","Authentication","Authorization","","","User login with correct email or password",""
"passed","Tue Jun 10 13:52:48 GMT 2025","Tue Jun 10 13:52:50 GMT 2025","2051","LMS system","Authentication","Registration","","","Registration with correct login, email and password",""
"passed","Tue Jun 10 13:53:04 GMT 2025","Tue Jun 10 13:53:04 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Jun 10 13:52:54 GMT 2025","Tue Jun 10 13:52:58 GMT 2025","3396","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 10 13:53:05 GMT 2025","Tue Jun 10 13:53:07 GMT 2025","1925","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 10 13:52:36 GMT 2025","Tue Jun 10 13:52:38 GMT 2025","2036","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 13:53:04 GMT 2025","Tue Jun 10 13:53:04 GMT 2025","1","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Tue Jun 10 13:52:44 GMT 2025","Tue Jun 10 13:52:46 GMT 2025","1399","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jun 10 13:53:04 GMT 2025","Tue Jun 10 13:53:04 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
